"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1NIVN01";17.64502;48.98061;241;"Nivnice";"Nivnice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1PLUM01";17.0128;49.4683;303;"Plumlov";"Plumlov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1PODI01";17.003611;49.369444;375;"Podivice";"Podivice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1PROS01";17.134722;49.4525;214.75;"ProstÏjov";"ProstÏjov";"AMS";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B1PROT01";16.83105;49.47782;675;"Protivanov";"Protivanov";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1RADE01";17.3348;48.8639;240;"RadÏjov";"RadÏjov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1SLIN01";17.8783;49.0853;362;"SlaviËÌn";"SlaviËÌn";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1STHR01";17.8614;48.9681;412;"Star˝ Hrozenkov";"Star˝ Hrozenkov";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1STIT01";17.9711;49.0728;315;"ätÌtn· nad Vl·¯Ì - Popov";"ätÌtn· nad Vl·¯Ì - Popov";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1STME01";17.4322;49.0917;221;"StarÈ MÏsto";"StarÈ MÏsto";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
