"id";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"X";"Y";"nut3";"nam";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"O3VEKA01";518;"VelkÈ Karlovice";"VelkÈ Karlovice";"AKS3";TRUE;"SRA";"SCE";"";"";"";NA;"";18.286944;49.359444;"Zlinsky";"Zlinsky/O3VEKA01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;NA;NA;6
"O3VSET01";387;"VsetÌn";"VsetÌn";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";17.9961;49.3442;"Zlinsky";"Zlinsky/O3VSET01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"O3ZDEC01";491;"ZdÏchov";"ZdÏchov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";18.0772;49.2639;"Zlinsky";"Zlinsky/O3ZDEC01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"O3ZDECTT";730;"ZdÏchov";"ZdÏchov";"TOTAL";NA;"";"";"";"";"";NA;"";18.0792;49.2444;"Zlinsky";"Zlinsky/O3ZDECTT";NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"O4BENE01";850;"VelkÈ Karlovice";"VelkÈ Karlovice, Beneöky";"ASNS";TRUE;"SRA";"";"SCEa";"";"";NA;"";18.292204;49.396303;"Zlinsky";"Zlinsky/O4BENE01";NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"O4KLEP01";700;"SobotÌn";"SobotÌn, Klep·Ëov";"ASNS";TRUE;"SRA";"";"SCEa";"";"";NA;"";17.133821;50.007192;"Olomoucky";"Olomoucky/O4KLEP01";NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"P1BERO01";265;"Beroun";"Beroun";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.0642;49.9711;"Stredocesky";"Stredocesky/P1BERO01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"P1DOBE01";205;"Dob¯ichovice";"Dob¯ichovice";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";14.2758;49.9333;"Stredocesky";"Stredocesky/P1DOBE01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"P1HVOZ01";425;"Hvozdec";"Hvozdec, MrtnÌk";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";13.8719;49.7983;"Stredocesky";"Stredocesky/P1HVOZ01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1CHRU01";255;"Chrustenice";"LodÏnice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.1567;49.9964;"Stredocesky";"Stredocesky/P1CHRU01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1JILS01";354;"JÌloviötÏ";"JÌloviötÏ";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.3319;49.9233;"Stredocesky";"Stredocesky/P1JILS01";NA;"tavg";NA;NA;"prec";"snow";NA;NA;NA;3
"P1KAMY01";280;"Kam˝k nad Vltavou";"Kam˝k nad Vltavou";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";14.24637;49.63234;"Stredocesky";"Stredocesky/P1KAMY01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"P1KOLE01";240;"KoleË";"KoleË";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.2378;50.1989;"Stredocesky";"Stredocesky/P1KOLE01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1KRAL01";220;"Kralupy nad Vltavou";"Kralupy nad Vltavou";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";14.29;50.2419;"Stredocesky";"Stredocesky/P1KRAL01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"P1KRIV01";323;"K¯ivokl·t";"K¯ivokl·t";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";13.8808;50.0381;"Stredocesky";"Stredocesky/P1KRIV01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1LANY01";415;"L·ny";"L·ny";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";13.9519;50.1242;"Stredocesky";"Stredocesky/P1LANY01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"P1LITE01";320;"LiteÚ";"LiteÚ";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.1506;49.9033;"Stredocesky";"Stredocesky/P1LITE01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1MNIS01";367;"MnÌöek pod Brdy";"MnÌöek pod Brdy";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.2625;49.8694;"Stredocesky";"Stredocesky/P1MNIS01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1NBEL01";465;"NeËÌn";"NeËÌn, BÏlohrad";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.2017;49.7067;"Stredocesky";"Stredocesky/P1NBEL01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1NEUM01";322;"NeumÏtely";"NeumÏtely";"AKS1";TRUE;"SRA";"SCE";"";"SSV";"";FALSE;"";14.0375;49.8542;"Stredocesky";"Stredocesky/P1NEUM01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"P1NSTR01";482;"NovÈ StraöecÌ";"NovÈ StraöecÌ";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";13.8942;50.1456;"Stredocesky";"Stredocesky/P1NSTR01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1PBRE01";355;"Praha";"Praha, B¯evnov";"ASS";NA;"SRA";"";"";"";"";NA;"";14.352689;50.080843;"Praha";"Praha/P1PBRE01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"P1PCHO01";297;"Praha";"Praha, Chodov";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";14.5;50.0294;"Praha";"Praha/P1PCHO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
