"Stanice.ID","JmÈno.stanice","ZaË·tek.mÏ¯enÌ","Konec.mÏ¯enÌ","ZemÏpisn·.dÈlka","ZemÏpisn·.öÌ¯ka","Nadmo¯sk·.v˝öka","element"
"B1BUCH01","Buchlovice",2018-01-01,2020-12-31,17.335389,49.089008,257,"SRA_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"F_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"F_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"Fmax_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"Fmax_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"H_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"H_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"SCE_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"SCE_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"SNO_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"SNO_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"SRA_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"SRA_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"SSV_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"SSV_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"T_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"T_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"TMA_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"TMA_N"
"B1BYSH01","Byst¯ice pod Host˝nem",1961-01-01,2003-12-31,17.6672,49.3956,317,"TMI_N"
"B1BYSH01","Byst¯ice pod Host˝nem",2004-05-01,2020-12-31,17.6706,49.3964,314,"TMI_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"F_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"F_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"F_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"F_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"H_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"H_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"H_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"H_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"SCE_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"SCE_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"SCE_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"SCE_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"SNO_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"SNO_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"SNO_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"SNO_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"SRA_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"SRA_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"SRA_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"SRA_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"SSV_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"SSV_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"SSV_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"SSV_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"T_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"T_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"T_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"T_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"TMA_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"TMA_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"TMA_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"TMA_N"
"B1BZEN01","Bzenec",1961-01-01,1971-12-31,17.27,48.9739,204,"TMI_N"
"B1BZEN01","Bzenec",1972-01-01,1981-11-30,17.2533,48.9792,187,"TMI_N"
"B1BZEN01","Bzenec",1982-03-01,2008-03-31,17.3008,48.9839,190,"TMI_N"
"B1BZEN01","Bzenec",2008-04-01,2020-12-31,17.3055,48.9816,182,"TMI_N"
"B1CAST01","»·stkov",1994-05-01,1995-12-31,17.6214,49.1078,240,"SCE_N"
"B1CAST01","»·stkov",1994-05-01,1995-12-31,17.6214,49.1078,240,"SNO_N"
"B1CAST01","»·stkov",1994-05-01,1995-12-31,17.6214,49.1078,240,"SRA_N"
"B1DREV01","D¯evohostice",1961-01-01,1991-11-30,17.5853,49.4292,236,"SCE_N"
"B1DREV01","D¯evohostice",1991-12-01,2013-05-31,17.5944,49.4267,238,"SCE_N"
"B1DREV01","D¯evohostice",2013-06-01,2020-12-31,17.586111,49.424444,238,"SCE_N"
"B1DREV01","D¯evohostice",1961-01-01,1991-11-30,17.5853,49.4292,236,"SNO_N"
"B1DREV01","D¯evohostice",1991-12-01,2013-05-31,17.5944,49.4267,238,"SNO_N"
"B1DREV01","D¯evohostice",2013-06-01,2020-12-31,17.586111,49.424444,238,"SNO_N"
"B1DREV01","D¯evohostice",1961-01-01,1991-11-30,17.5853,49.4292,236,"SRA_N"
"B1DREV01","D¯evohostice",1991-12-01,2013-05-31,17.5944,49.4267,238,"SRA_N"
"B1DREV01","D¯evohostice",2013-06-01,2020-12-31,17.586111,49.424444,238,"SRA_N"
"B1HLHO01","HornÌ Lhota",1961-01-01,1968-08-31,17.8025,49.1742,456,"SCE_N"
"B1HLHO01","HornÌ Lhota",1968-09-01,1992-01-31,17.8047,49.1558,350,"SCE_N"
"B1HLHO01","HornÌ Lhota",1992-04-01,2020-12-31,17.8033,49.155,348,"SCE_N"
"B1HLHO01","HornÌ Lhota",1961-01-01,1968-08-31,17.8025,49.1742,456,"SNO_N"
"B1HLHO01","HornÌ Lhota",1968-09-01,1992-01-31,17.8047,49.1558,350,"SNO_N"
"B1HLHO01","HornÌ Lhota",1992-04-01,2020-12-31,17.8033,49.155,348,"SNO_N"
"B1HLHO01","HornÌ Lhota",1961-01-01,1968-08-31,17.8025,49.1742,456,"SRA_N"
"B1HLHO01","HornÌ Lhota",1968-09-01,1992-01-31,17.8047,49.1558,350,"SRA_N"
"B1HLHO01","HornÌ Lhota",1992-04-01,2020-12-31,17.8033,49.155,348,"SRA_N"
"B1HLUK01","Hluk",1961-01-01,1980-06-30,17.5286,48.9892,233,"SCE_N"
"B1HLUK01","Hluk",1982-03-01,1997-09-30,17.5242,48.9917,220,"SCE_N"
"B1HLUK01","Hluk",1997-10-01,2020-12-31,17.538,48.9863,225,"SCE_N"
"B1HLUK01","Hluk",1961-01-01,1980-06-30,17.5286,48.9892,233,"SNO_N"
"B1HLUK01","Hluk",1982-03-01,1997-09-30,17.5242,48.9917,220,"SNO_N"
"B1HLUK01","Hluk",1997-10-01,2020-12-31,17.538,48.9863,225,"SNO_N"
"B1HLUK01","Hluk",1961-01-01,1980-06-30,17.5286,48.9892,233,"SRA_N"
"B1HLUK01","Hluk",1982-03-01,1997-09-30,17.5242,48.9917,220,"SRA_N"
"B1HLUK01","Hluk",1997-10-01,2020-12-31,17.538,48.9863,225,"SRA_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"F_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"H_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"SCE_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"SNO_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"SRA_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"T_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"TMA_N"
"B1HMOS01","HornÌ MoötÏnice",1961-01-01,1962-12-31,17.4505,49.4153,224,"TMI_N"
